title,human,ChatGPT,author,Claude,deepseek
Dynamic Prediction By Landmarking In Event History Analysis,"This article advocates the landmarking approach that dynamically adjusts   predictive models for survival data during the follow up. This updating   is achieved by directly fitting models for the individuals still at risk   at the landmark point. Using this approach, simple proportional hazards   models are able to catch the development over time for models with   time-varying effects of covariates or data with time-dependent   covariates (biomarkers). To smooth the effect of the landmarking,   sequences of models are considered with parametric effects of the   landmark time point and fitted by maximizing appropriate pseudo   log-likelihoods that extend the partial log-likelihood to cover the   landmarking approach.","This article advocates for the landmarking approach, which dynamically adjusts predictive models for survival data throughout the follow-up period. This updating process involves directly fitting models for individuals still at risk at the designated landmark point. By employing this method, straightforward proportional hazards models can effectively account for the evolution of models with time-varying effects of covariates or data featuring time-dependent covariates (such as biomarkers). To enhance the smoothing effects of landmarking, sequences of models are examined, incorporating parametric effects of the landmark time point. These models are fitted by maximizing appropriate pseudo log-likelihoods that extend the partial log-likelihood framework to accommodate the landmarking process.",Hans Van Houwelingen,"This article proposes the landmarking approach, which dynamically adjusts predictive models for survival data during the follow-up period. The updating is achieved by directly fitting models for the individuals still at risk at the landmark point. Using this approach, simple proportional hazards models can capture the time-varying effects of covariates or handle time-dependent covariates (biomarkers). To smooth the impact of the landmarking, the authors consider sequences of models with parametric effects of the landmark time point, which are fitted by maximizing appropriate pseudo log-likelihoods that extend the partial log-likelihood to incorporate the landmarking approach.","This article promotes the landmarking method, which dynamically updates predictive survival models during follow-up. The approach works by fitting models directly to individuals still at risk at each landmark point. Through this method, standard proportional hazards models can effectively track temporal developments, including time-varying covariate effects or time-dependent biomarkers. To smooth the landmarking effect, model sequences incorporate parametric landmark time effects and are fitted by maximizing specialized pseudo log-likelihoods—extensions of the partial log-likelihood adapted for landmarking."
Testing Against A High Dimensional Alternative,"As the dimensionality of the alternative hypothesis increases, the power   of classical tests tends to diminish quite rapidly. This is especially   true for high dimensional data in which there are more parameters than   observations. We discuss a score test on a hyperparameter in an   empirical Bayesian model as an alternative to classical tests. It gives   a general test statistic which can be used to test a point null   hypothesis against a high dimensional alternative, even when the number   of parameters exceeds the number of samples. This test will be shown to   have optimal power on average in a neighbourhood of the null hypothesis,   which makes it a proper generalization of the locally most powerful test   to multiple dimensions. To illustrate this new locally most powerful   test we investigate the case of testing the global null hypothesis in a   linear regression model in more detail. The score test is shown to have   significantly more power than the F-test whenever under the alternative   the large variance principal components of the design matrix explain   substantially more of the variance of the outcome than do the small   variance principal components. The score test is also useful for   detecting sparse alternatives in truly high dimensional data, where its   power is comparable with the test based on the maximum absolute   t-statistic.","As the dimensionality of the alternative hypothesis increases, the power of classical tests tends to decrease rapidly. This phenomenon is particularly evident in high-dimensional data where the number of parameters exceeds the number of observations. In this context, we present a score test on a hyperparameter within an empirical Bayesian model as a robust alternative to classical tests. This approach yields a general test statistic capable of assessing a point null hypothesis against high-dimensional alternatives, even when the number of parameters surpasses the number of samples. We demonstrate that this test achieves optimal average power in a neighborhood around the null hypothesis, thus providing a meaningful generalization of the locally most powerful test to multiple dimensions. To illustrate this new locally most powerful test, we explore the testing of the global null hypothesis within a linear regression framework. The score test exhibits significantly greater power than the F-test when, under the alternative hypothesis, the larger-variance principal components of the design matrix account for substantially more variance in the outcome than the smaller-variance principal components. Additionally, the score test proves effective for identifying sparse alternatives in genuinely high-dimensional data, with its power comparable to that of the maximum absolute t-statistic test.",Hans Van Houwelingen,"As the dimensionality of the alternative hypothesis grows, the power of classical tests tends to diminish rapidly. This is particularly true for high-dimensional data where the number of parameters exceeds the number of observations. We propose a score test on a hyperparameter in an empirical Bayesian model as an alternative to classical tests. This test statistic can be used to test a point null hypothesis against a high-dimensional alternative, even when the number of parameters is greater than the number of samples. We show that this test has optimal average power in a neighborhood of the null hypothesis, generalizing the locally most powerful test to multiple dimensions. To illustrate this new locally most powerful test, we investigate the case of testing the global null hypothesis in a linear regression model in more detail. The score test is shown to have significantly more power than the F-test whenever the large variance principal components of the design matrix explain substantially more of the outcome's variance than the small variance principal components under the alternative. The score test is also useful for detecting sparse alternatives in truly high-dimensional data, where its power is comparable to the test based on the maximum absolute t-statistic.","As the dimensionality of the alternative hypothesis grows, the power of classical tests often declines sharply. This is particularly evident in high-dimensional settings where parameters outnumber observations. We propose a score test for a hyperparameter in an empirical Bayesian model as an alternative to classical approaches. This method provides a general test statistic capable of evaluating a point null hypothesis against a high-dimensional alternative, even when parameters exceed samples. The test demonstrates optimal average power near the null hypothesis, effectively generalizing the locally most powerful test to multiple dimensions. To demonstrate this new locally most powerful test, we examine the case of testing the global null hypothesis in linear regression more thoroughly. The score test exhibits substantially greater power than the F-test when the alternative involves large-variance principal components of the design matrix explaining significantly more outcome variance than small-variance components. Additionally, the score test proves effective for detecting sparse alternatives in genuinely high-dimensional data, performing comparably to tests based on the maximum absolute t-statistic."
Dynamic Frailty Models Based On Compound Birth-death Processes,"Frailty models are used in survival analysis to model unobserved   heterogeneity. They accommodate such heterogeneity by the inclusion of a   random term, the frailty, which is assumed to multiply the hazard of a   subject (individual frailty) or the hazards of all subjects in a cluster   (shared frailty). Typically, the frailty term is assumed to be constant   over time. This is a restrictive assumption and extensions to allow for   time-varying or dynamic frailties are of interest. In this paper, we   extend the auto-correlated frailty models of Henderson and Shimakura and   of Fiocco, Putter and van Houwelingen, developed for longitudinal count   data and discrete survival data, to continuous survival data. We present   a rigorous construction of the frailty processes in continuous time   based on compound birth-death processes. When the frailty processes are   used as mixtures in models for survival data, we derive the marginal   hazards and survival functions and the marginal bivariate survival   functions and cross-ratio function. We derive distributional properties   of the processes, conditional on observed data, and show how to obtain   the maximum likelihood estimators of the parameters of the model using a   (stochastic) expectation-maximization algorithm. The methods are applied   to a publicly available data set.","Frailty models are commonly employed in survival analysis to address unobserved heterogeneity by incorporating a random term, known as frailty. This term can either multiply the hazard for individual subjects (individual frailty) or affect the hazards of all subjects within a cluster (shared frailty). Traditionally, the frailty term is assumed to remain constant over time, which is a restrictive assumption. Consequently, there is growing interest in extending these models to allow for time-varying or dynamic frailties. In this paper, we expand upon the auto-correlated frailty models proposed by Henderson and Shimakura, as well as Fiocco, Putter, and van Houwelingen, which were initially designed for longitudinal count data and discrete survival data, and adapt them for continuous survival data. We provide a thorough construction of frailty processes in continuous time based on compound birth-death processes. Using these frailty processes as mixtures in survival data models, we derive the marginal hazards, survival functions, as well as the marginal bivariate survival functions and cross-ratio function. We also explore the distributional properties of these processes conditioned on observed data and detail how to compute the maximum likelihood estimates of the model parameters through a (stochastic) expectation-maximization algorithm. The proposed methods are demonstrated using a publicly available dataset.",Hans Van Houwelingen,"Frailty models are widely used in survival analysis to account for unobserved heterogeneity. These models incorporate a random term, the frailty, which multiplies the hazard of an individual (individual frailty) or the hazards of all individuals within a cluster (shared frailty). Typically, the frailty term is assumed to be constant over time, which is a restrictive assumption. In this paper, we extend the auto-correlated frailty models developed for longitudinal count data and discrete survival data to continuous survival data. We provide a rigorous construction of the frailty processes in continuous time based on compound birth-death processes. When these frailty processes are used as mixtures in survival data models, we derive the marginal hazards, survival functions, bivariate survival functions, and cross-ratio function. Additionally, we investigate the distributional properties of the processes conditional on observed data and present a (stochastic) expectation-maximization algorithm to obtain the maximum likelihood estimators of the model parameters. The proposed methods are applied to a publicly available data set.","Frailty models account for unobserved heterogeneity in survival analysis by incorporating a random term—the frailty—that multiplies an individual’s hazard (individual frailty) or the hazards of all subjects in a cluster (shared frailty). Conventionally, the frailty is assumed time-invariant, a restrictive assumption that motivates interest in time-varying or dynamic extensions. Here, we generalize the auto-correlated frailty models of Henderson and Shimakura and of Fiocco, Putter, and van Houwelingen—originally developed for longitudinal count and discrete survival data—to continuous survival data. We rigorously construct these frailty processes in continuous time using compound birth-death processes. When applied as mixture models for survival data, we derive marginal hazards, survival functions, bivariate survival functions, and cross-ratio functions. We also establish distributional properties of the processes conditional on observed data and demonstrate parameter estimation via a (stochastic) expectation-maximization algorithm. The methods are illustrated using a publicly available dataset."
Testing Whether A Survival Distribution Is New Better Than Used Of An Unknown Specified Age,"A survival variable is a nonnegative random variable X with distribution   function F and a survival function (F) over bar = 1 - F. This variable   is said to be new better than used of specified age t(0) if (F) over   bar(x + t(0)) less than or equal to (F) over bar(x)(F) over bar(t(0))   for all x greater than or equal to 0 and a fixed t(0). Testing H-0: (F)   over bar(x + t(0)) = (F) over bar(x)(F) over bar(t(0)) for all x greater   than or equal to 0 against H-1: (F) over bar(x + t(0)) less than or   equal to (F) over bar(x)(F) over bar(t(0)) for x greater than or equal   to 0 when the point t(0) is unknown but can be estimated from the data   is proposed when t(0) = mu, the mean of F, and also when t(0) = xi(p),   the pth percentile of F. It is shown that, while the known tests for   known t(0) (Hollander, Park \& Proschan, 1986; Ebrahimi \& Habibullah,   1990) continue to hold when t(0) = mu and is estimated by (X) over bar,   a simpler and distribution-free test is possible when t(0) = xi(p) and   is estimated by X-([np]). The performance of this test is presented.","A survival variable is a nonnegative random variable \( X \) characterized by a distribution function \( F \) and a survival function \( \overline{F} = 1 - F \). This variable is considered to be ""new better than used"" at a specified age \( t(0) \) if \( \overline{F}(x + t(0)) \leq \overline{F}(x) \cdot \overline{F}(t(0)) \) for all \( x \geq 0 \) and a fixed \( t(0) \). We propose testing \( H_0: \overline{F}(x + t(0)) = \overline{F}(x) \cdot \overline{F}(t(0)) \) for all \( x \geq 0 \) against \( H_1: \overline{F}(x + t(0)) \leq \overline{F}(x) \cdot \overline{F}(t(0)) \) for \( x \geq 0 \), particularly when the point \( t(0) \) is unknown but can be estimated from the data. We consider scenarios where \( t(0) = \mu \), the mean of \( F \), and when \( t(0) = \xi(p) \), the \( p \)th percentile of \( F \). It is demonstrated that established tests for known \( t(0) \) (Hollander, Park & Proschan, 1986; Ebrahimi & Habibullah, 1990) remain valid when \( t(0) = \mu \) and is estimated by \( \bar{X} \). However, a simpler and distribution-free test is achievable when \( t(0) = \xi(p) \) and is estimated by \( X_{([np])} \). The performance of this latter test is also discussed.",Ibrahim Ahmad,"Here is an edited version of the abstract, with the length kept similar but the text rephrased and slightly edited:

A survival variable is a nonnegative random variable X with a distribution function F and a survival function (F) overbar = 1 - F. This variable is said to be new better than used of a specified age t(0) if the survival function (F) overbar(x + t(0)) is less than or equal to the product of (F) overbar(x) and (F) overbar(t(0)) for all x greater than or equal to 0 and a fixed t(0). We propose a test for the null hypothesis H-0: (F) overbar(x + t(0)) = (F) overbar(x)(F) overbar(t(0)) for all x greater than or equal to 0, against the alternative hypothesis H-1: (F) overbar(x + t(0)) is less than or equal to (F) overbar(x)(F) overbar(t(0)) for x greater than or equal to 0, when the point t(0) is unknown but can be estimated from the data. We consider the cases when t(0) = μ, the mean of F, and when t(0) = ξ(p), the pth percentile of F. While the known tests for the case of known t(0) (Hollander, Park & Proschan, 1986; Ebrahimi & Habibullah, 1990) continue to hold when t(0) = μ and is estimated by the sample mean, we show that a simpler and distribution-free test is possible when t(0) = ξ(p) and is estimated by the pth sample quantile. The performance of this test is presented.","A survival variable is a nonnegative random variable \( X \) with distribution function \( F \) and survival function \( \overline{F} = 1 - F \). This variable is considered new better than used at a specified age \( t_0 \) if \( \overline{F}(x + t_0) \leq \overline{F}(x)\overline{F}(t_0) \) for all \( x \geq 0 \) and a fixed \( t_0 \). The hypothesis \( H_0: \overline{F}(x + t_0) = \overline{F}(x)\overline{F}(t_0) \) for all \( x \geq 0 \) is tested against \( H_1: \overline{F}(x + t_0) \leq \overline{F}(x)\overline{F}(t_0) \) for \( x \geq 0 \), where \( t_0 \) is unknown but estimable from the data. This is proposed for \( t_0 = \mu \) (the mean of \( F \)) and \( t_0 = \xi_p \) (the \( p \)-th percentile of \( F \)). While existing tests for known \( t_0 \) (Hollander, Park & Proschan, 1986; Ebrahimi & Habibullah, 1990) remain valid when \( t_0 = \mu \) and is estimated by \( \overline{X} \), a simpler, distribution-free test is possible when \( t_0 = \xi_p \) and is estimated by \( X_{([np])} \). The performance of this test is examined."
Modification Of Some Goodness-of-fit Statistics To Yield Asymptotically Normal Null Distributions,"The Cramer-von Mises class of test statistics for the one-sample   goodness-of-fit problem is based on the weighted L2-distance of the   distribution from its empirical counterpart. It is well known that the   root n standardized norm has a degenerate limiting distribution under   the null hypothesis, and the n standardized norm has a nondegenerate   limiting distribution that is not normal and depends on identifying the   principal components for every weight function. Usually this limiting   distribution is an infinite weighted sum of Chi-squared distributions.   In the current investigation, we offer an alternative estimate of the   L2-norm that is asymptotically normal under both the null and the   alternative distributions. Similar modification is indicated for the   Watson (1961) statistic used for testing a distribution defined on a   circle.","The Cramer-von Mises class of test statistics for one-sample goodness-of-fit problems relies on the weighted L2-distance between the distribution and its empirical counterpart. It is widely recognized that the root n standardized norm exhibits a degenerate limiting distribution under the null hypothesis, while the n standardized norm displays a nondegenerate limiting distribution that is not normal and depends on identifying principal components for each weight function. Typically, this limiting distribution is characterized as an infinite weighted sum of Chi-squared distributions. In this study, we present an alternative estimate of the L2-norm that approaches asymptotic normality under both null and alternative distributions. We also suggest a similar modification for the Watson (1961) statistic, which is used to test distributions defined on a circle.",Ibrahim Ahmad,"The Cramer-von Mises class of test statistics for the one-sample goodness-of-fit problem is based on the weighted L2-distance between the distribution and its empirical counterpart. It is well-known that the standardized norm, scaled by the square root of the sample size, has a degenerate limiting distribution under the null hypothesis, and the standardized norm, scaled by the sample size, has a nondegenerate limiting distribution that is not normal and depends on identifying the principal components for every weight function. This limiting distribution is typically an infinite weighted sum of Chi-squared distributions. In this study, we propose an alternative estimate of the L2-norm that is asymptotically normal under both the null and alternative distributions. A similar modification is suggested for the Watson (1961) statistic, which is used for testing a distribution defined on a circle.","The Cramer-von Mises family of test statistics for one-sample goodness-of-fit problems relies on the weighted L2-distance between a distribution and its empirical version. It is established that the root n standardized norm converges to a degenerate limit under the null hypothesis, while the n standardized norm approaches a nondegenerate, non-normal limit dependent on identifying principal components for each weight function. Typically, this limiting distribution takes the form of an infinite weighted sum of Chi-squared variables. In this study, we propose an alternative L2-norm estimator that remains asymptotically normal under both null and alternative hypotheses. A comparable adjustment is suggested for Watson's (1961) circular distribution test statistic."
A New Test For Mean Residual Life Times,The mean residual life at age t is the expected value of the remaining   life beyond that age. A new U-statistic is derived for testing constant   versus decreasing mean residual life. The new test is easier to compute   and performs better for several alternatives than previous tests.,"The mean residual life at age \( t \) represents the expected duration of life remaining beyond that age. In this study, we introduce a novel U-statistic for evaluating the difference between constant and decreasing mean residual life. This new test is not only simpler to compute but also demonstrates superior performance against various alternative hypotheses compared to earlier methods.",Ibrahim Ahmad,"The expected remaining lifespan beyond a given age, known as the mean residual life, is an important concept in statistical analysis. In this paper, we present a novel U-statistic for testing the hypothesis of constant versus decreasing mean residual life. The proposed test is more straightforward to compute and demonstrates superior performance compared to previous methods, particularly for several alternative scenarios.",The mean residual life at age *t* represents the expected remaining lifespan beyond that point. A novel U-statistic is developed to test whether the mean residual life is constant or decreasing. This new method is simpler to calculate and outperforms prior tests for various alternatives.
On Lp-convergence Rates For Statistical Functions With Application To L-estimates,"Summary A parameter which may be represented as a functionalT(F) of a distribution functionF may be estimated by the “statistical function”T(Fn), whereFn is the empirical distribution function. Recently, Boos and Serfling (1979, Florida State University Statistics Report No. M 499) obtained sufficient conditions for the Berry-Esseen theorem to hold forT(Fn)-T(F) and applied the results to derive rates of convergence inL∞ forL-estimates. The present note complements their work by obtaining theLp-rates of convergence, 1≦p<∞ forT(Fn)-T(F) and its application toL-estimates.","Summary: A parameter represented as a functional T(F) of a distribution function F can be estimated using the ""statistical function"" T(Fn), where Fn is the empirical distribution function. Recently, Boos and Serfling (1979, Florida State University Statistics Report No. M 499) established sufficient conditions for the Berry-Esseen theorem to apply to the difference T(Fn) - T(F), providing insights into convergence rates in L∞ for L-estimates. This note builds on their findings by deriving the Lp-rates of convergence, where 1 ≤ p < ∞, for T(Fn) - T(F) and examining its implications for L-estimates.",Ibrahim Ahmad,"Here is a lightly edited version of the abstract:

This paper investigates the estimation of a parameter that can be expressed as a functional T(F) of a distribution function F. The parameter is estimated by the ""statistical function"" T(Fn), where Fn is the empirical distribution function. Building on previous work by Boos and Serfling (1979), we establish sufficient conditions for the Berry-Esseen theorem to hold for T(Fn) - T(F) and derive rates of convergence in the L∞ norm for L-estimates. This study complements the earlier work by obtaining Lp-rates of convergence, for 1 ≤ p < ∞, for T(Fn) - T(F) and applying the results to L-estimates.","A parameter expressible as a functional \( T(F) \) of a distribution function \( F \) can be estimated using the statistical function \( T(F_n) \), where \( F_n \) is the empirical distribution. Boos and Serfling (1979, Florida State University Statistics Report No. M 499) recently established sufficient conditions for the Berry-Esseen theorem to apply to \( T(F_n) - T(F) \) and used these to determine \( L_\infty \) convergence rates for \( L \)-estimates. This note extends their work by deriving \( L_p \)-convergence rates (\( 1 \leq p < \infty \)) for \( T(F_n) - T(F) \) and demonstrating their application to \( L \)-estimates."
Nonparametric-estimation Of The Location And Scale-parameters Based On Density-estimation,"Summary By representing the location and scale parameters of an absolutely continuous distribution as functionals of the usually unknown probability density function, it is possible to provide estimates of these parameters in terms of estimates of the unknown functionals. Using the properties of well-known methods of density estimates, it is shown that the proposed estimates possess nice large sample properties and it is indicated that they are also robust against dependence in the sample. The estimates perform well against other estimates of location and scale parameters.","**Summary**  
This study demonstrates that by expressing the location and scale parameters of an absolutely continuous distribution as functionals of the typically unknown probability density function, one can derive estimates for these parameters based on estimates of the unknown functionals. Utilizing the characteristics of established density estimation methods, it is shown that the proposed estimates exhibit favorable large-sample properties and are robust to dependence within the sample. Furthermore, the performance of these estimates is compared favorably with other estimates of location and scale parameters.",Ibrahim Ahmad,"Revised Abstract:

This paper presents a novel approach to estimating the location and scale parameters of an absolutely continuous distribution. By representing these parameters as functionals of the typically unknown probability density function, we can derive estimates of the parameters based on estimates of the unknown functionals. Leveraging the properties of well-established density estimation techniques, we demonstrate that the proposed estimates exhibit desirable large-sample properties and are also robust to dependence within the sample. The performance of these estimates is evaluated against other methods of estimating location and scale parameters, and they are shown to perform favorably.","By expressing the location and scale parameters of an absolutely continuous distribution as functionals of the typically unknown density function, these parameters can be estimated using approximations of those functionals. Leveraging established density estimation techniques, the proposed estimators demonstrate favorable asymptotic properties and exhibit robustness to sample dependence. These estimators also compare favorably to alternative location and scale parameter estimation methods."
Integrated Mean-square Properties Of Density-estimation By Orthogonal Series Methods For Dependent-variables,"Summary The rates at which integrated mean square and mean squre errors of nonparametric density estimation by orthogonal series method for sequences of strictly stationary strong mixing random variables are obtained. These rates are better than those known to hold for the independent case and they are shown to hold for Markov processes. In fact our results when specialized to the independent case are improvements over previously known results of Schwartz (1967,Ann. Math. Statist.,38, 1262–1265). An extension of the results to estimation of the bivariate density is also given.","**Summary**  
We present the rates of integrated mean square and mean square errors for nonparametric density estimation using the orthogonal series method, focusing on sequences of strictly stationary strong mixing random variables. These rates surpass those established for independent variables and are applicable to Markov processes as well. Notably, our findings, when tailored to the independent case, provide enhancements over previously reported results by Schwartz (1967, Ann. Math. Statist., 38, 1262–1265). Additionally, we extend our results to encompass the estimation of bivariate densities.",Ibrahim Ahmad,"Revised Abstract:

This study investigates the rates of integrated mean square and mean square errors in nonparametric density estimation using the orthogonal series method for sequences of strictly stationary, strongly mixing random variables. The obtained rates outperform those previously established for independent observations, and they are shown to hold for Markov processes as well. When the results are specialized to the independent case, they offer improvements over the earlier findings of Schwartz (1967, Ann. Math. Statist., 38, 1262–1265). Furthermore, the study presents an extension of the results to the estimation of bivariate density.","Summary  
This study derives the convergence rates for integrated mean square and mean squared errors in nonparametric density estimation using orthogonal series methods for strictly stationary strong mixing random sequences. These rates outperform those established for independent cases and are proven to apply to Markov processes. When applied to independent scenarios, our results improve upon prior findings by Schwartz (1967, *Ann. Math. Statist.*, 38, 1262–1265). The work also extends these results to bivariate density estimation."
On The Deviation Between The Distributions Of Sums And Maximum Sums Of Iid Random Vectors,"Summary For a sequence of independent and identically distributed random vectors, with finite moment of order less than or equal to the second, the rate at which the deviation between the distribution functions of the vectors of partial sums and maximums of partial sums is obtained both when the sample size is fixed and when it is random, satisfying certain regularity conditions. When the second moments exist the rate is of ordern−1/4 (in the fixed sample size case). Two applications are given, first, we compliment some recent work of Ahmad (1979,J. Multivariate Anal.,9, 214–222) on rates of convergence for the vector of maximum sums and second, we obtain rates of convergence of the concentration functions of maximum sums for both the fixed and random sample size cases.","**Revised Summary**  
For a sequence of independent and identically distributed random vectors with finite moments of order up to the second, we examine the rate of deviation between the distribution functions of the vectors of partial sums and the maximums of partial sums. This is addressed for both fixed and random sample sizes under specific regularity conditions. When second moments are present, we find that the rate of convergence is of order \( n^{-1/4 \) for the fixed sample size scenario. Our study offers two key applications: first, we extend the findings of Ahmad (1979, J. Multivariate Anal., 9, 214–222) regarding rates of convergence for the vector of maximum sums, and second, we establish rates of convergence for the concentration functions of maximum sums in both the fixed and random sample size contexts.",Ibrahim Ahmad,"Edited Abstract:

This study investigates the convergence rate between the distribution functions of partial sums and their corresponding maximums for a sequence of independent and identically distributed random vectors. The analysis considers both fixed and random sample sizes, under the assumption of finite second-order moments. When the second moments exist, the convergence rate is found to be of order n^(-1/4) in the fixed sample size case. Two applications are presented: first, the study complements previous work by Ahmad (1979, J. Multivariate Anal., 9, 214–222) on the convergence rates for the vector of maximum sums; second, it derives the convergence rates of the concentration functions of maximum sums for both the fixed and random sample size scenarios.","Summary: For a sequence of independent and identically distributed random vectors with finite moments up to the second order, the deviation rate between the distribution functions of partial sums and their maxima is derived—both for fixed and random sample sizes (under certain regularity conditions). When second moments exist, this rate is of order \( n^{-1/4} \) for fixed samples. Two applications follow: first, we extend recent work by Ahmad (1979, J. Multivariate Anal., 9, 214–222) on convergence rates for maximum sums, and second, we establish convergence rates for the concentration functions of maximum sums in both fixed and random sample size cases."
Lp-consistency Of Multivariate Density Estimates,"Abstract Lp notion of the weak, mean, and strong consistency of the kernel method of multivariate density estimation is proposed and studied. The results expand, unify, or generalize most known results in the literature. Rates of convergence in mean and strongLp-consistencies are presented.","This paper proposes and examines the Lp notions of weak, mean, and strong consistency for the kernel method in multivariate density estimation. The findings broaden, unify, and generalize many existing results in the literature. Additionally, we present rates of convergence for both mean and strong Lp-consistencies.",Ibrahim Ahmad,,"This paper introduces and examines the weak, mean, and strong Lp-consistency of the kernel method for multivariate density estimation. The findings extend, unify, or generalize many existing results in the field. Convergence rates for mean and strong Lp-consistency are also provided."
A Note On Nonparametric Density-estimation For Dependent-variables Using A Delta Sequence,"Summary A general method based on “delta sequences” due to Walter and Blum [12] is extended to sequences of strictly stationary mixing random variables having the same marginal distribution admitting a Lebesgue probability density function. It is proved that, under certain conditions, the rate of mean square convergence obtained in the i.i.d. case by Walter and Blum, continues to hold.","Summary: A general method based on ""delta sequences"" introduced by Walter and Blum [12] is expanded to encompass sequences of strictly stationary mixing random variables, all sharing the same marginal distribution with a Lebesgue probability density function. It is demonstrated that, under specific conditions, the mean square convergence rate achieved in the i.i.d. case by Walter and Blum remains applicable.",Ibrahim Ahmad,"Revised Abstract:

This study extends the ""delta sequence"" method developed by Walter and Blum [12] to sequences of strictly stationary, mixing random variables with a common marginal distribution that admits a Lebesgue probability density function. Under specific conditions, it is demonstrated that the rate of mean square convergence achieved in the independent and identically distributed (i.i.d.) case by Walter and Blum continues to hold for the more general setting of stationary, mixing sequences.","Summary The approach of Walter and Blum [12], which relies on ""delta sequences,"" is expanded to cover sequences of strictly stationary, mixing random variables sharing the same marginal distribution with a Lebesgue probability density function. Under specific conditions, the mean square convergence rate established by Walter and Blum for the i.i.d. case is shown to remain valid."
Mixing Normal Approximations Of Vectors Of Sums And Maximum Sums,"Summary The conditioned central limit theorem for the vector of maximum partial sums based on independent identically distributed random vectors is investigated and the rate of convergence is discussed. The conditioning is that of Rényi (1958,Acta Math. Acad. Sci. Hungar.,9, 215–228). Analogous results for the vector of partial sums are obtained.","Revised Summary: This study explores the conditioned central limit theorem for the vector of maximum partial sums derived from independent identically distributed random vectors, focusing on the rate of convergence. The conditioning approach follows that of Rényi (1958, Acta Math. Acad. Sci. Hungar., 9, 215–228). Additionally, similar results are presented for the vector of partial sums.",Ibrahim Ahmad,"Edited Abstract:

This study investigates the conditioned central limit theorem for the vector of maximum partial sums, derived from independent and identically distributed random vectors. The conditioning follows the approach proposed by Rényi (1958, Acta Math. Acad. Sci. Hungar., 9, 215–228). Additionally, we present analogous results for the vector of partial sums.","Summary: The study examines the conditioned central limit theorem for the vector of maximum partial sums derived from independent, identically distributed random vectors, along with its convergence rate. The conditioning follows Rényi’s approach (1958, Acta Math. Acad. Sci. Hungar., 9, 215–228). Parallel findings for the vector of partial sums are also presented."
On The Chernoff-savage Theorem For Dependent Sequences,"Summary Given a sequence of ϕ-mixing random variables not necessarily stationary, a Chernoff-Savage theorem for two-sample linear rank statistics is proved using the Pyke-Shorack [5] approach based on weak convergence properties of empirical processes in an extended metric. This result is a generalization of Fears and Mehra [4] in that the stationarity is not required and that the condition imposed on the mixing numbers is substantially relaxed. A similar result is shown to hold for strong mixing sequences under slightly stronger conditions on the mixing numbers.","**Revised Summary**  
This paper presents a Chernoff-Savage theorem for two-sample linear rank statistics, extending the work of Fears and Mehra. We consider a sequence of ϕ-mixing random variables that need not be stationary. Our proof employs the Pyke-Shorack approach, which utilizes weak convergence properties of empirical processes within an extended metric framework. Notably, our findings relax the stationarity requirement and impose significantly less stringent conditions on the mixing numbers. Additionally, we establish a comparable result for strong mixing sequences, albeit under slightly more rigorous conditions on the mixing numbers.",Ibrahim Ahmad,"Revised Abstract:

This study investigates two-sample linear rank statistics for a sequence of ϕ-mixing random variables that are not necessarily stationary. Using the Pyke-Shorack [5] approach, which relies on the weak convergence properties of empirical processes in an extended metric, we establish a Chernoff-Savage theorem for these statistics. This result extends the work of Fears and Mehra [4] by removing the stationarity requirement and substantially relaxing the conditions on the mixing numbers. Furthermore, we demonstrate that a similar result holds for strongly mixing sequences, albeit under slightly stronger conditions on the mixing numbers.","Summary  
For a sequence of ϕ-mixing random variables (not necessarily stationary), a Chernoff-Savage theorem is established for two-sample linear rank statistics using the Pyke-Shorack [5] method, which relies on weak convergence properties of empirical processes in an extended metric. This extends the work of Fears and Mehra [4] by removing the stationarity requirement and significantly relaxing the conditions on the mixing coefficients. A parallel result is also demonstrated for strong mixing sequences, though under somewhat stricter conditions on the mixing numbers."
