ID,Citation_Type,Ref_Clean_citation,Para_text
ID_185922,Technical basis,Jacod 2004,"is the gamma distribution with mean ab and variance ab 2 . Although (t) is a jump process, and therefore its sample paths are not differentiable, one can interpret the process d /dt as multiplicative gamma noise (Bretó et al. 2009). The reason to choose gamma noise over the more familiar Gaussian noise is to enforce the positivity of μ S 1 E (t) and hence all the state variables in ( 1)-( 7). Supposing that d (t)/dt represents nonnegative white noise is equivalent to requiring that (t) be a Lévy jump process with a nonnegative jump distribution (Applebaum 2004). The gamma process was selected for being a relatively simple and well-studied nonnegative Lévy process. The Equations ( 1)-( 6) and ( 8)-( 9) then define a set of coupled stochastic differential equations driven by Lévy noise. We solve this system numerically via the Euler method (Protter and Talay 1997;Jacod 2004) with a time-step of one day. Whereas all state variables in the unavailable exact solution are nonnegative, it is possible for the Euler method to generate numerical approximations violating this constraint. We monitored the frequency of these occurrences; they were rare to the point of negligibility in our analysis. Equation ( 6) is based on mass-action principles (Anderson and May 1991;Keeling and Rohani 2008). Here, q represents the transmissibility, relative to full-blown infections, from asymptomatic infections in partially immune individuals. The seasonality of disease transmission is modeled by the coefficients {β i } corresponding to a periodic cubic B-spline basis {s i (t), i = 1, . . . , n s } constructed using n s evenly spaced knots. Time-varying covariates enter via the row vector Z t with coefficients in a column vector β. The dimensional constant β is required to give μ S 1 E (t) units of t -1 , and we set β = 1 yr -1 ."
ID_186131,Fundamental idea,"Berkes, Gombay, and Horváth (2009)","We briefly consider changepoint tests for the annual storm counts which do not require the assumption of IID Poisson data. The CUSUM test of Theorem 1 (which only requires IID data) when applied to 1965-2008 segment finds the 1995 changepoint with a p-value of 0.00357. The CUSUM test of Berkes, Gombay, and Horváth (2009), which allows for autocorrelation, also detects the 1995 changepoint at the 5% significance level. For this test, we used a Bartlett-based expression to estimate the long-run series variance; the results are somewhat dependent on a bandwidth parameter used in the calculation of this estimate. In applying the methods of Bai (1993) to the residuals from a first order autoregressive fit of the 1965-2008 storm counts, the 1995 changepoint is flagged with a p-value of 0.0166. The 1930s changepoint is also evident with these methods. As these test do not assume independent Poisson data they are probably not very powerful. Hence, we now investigate the validity of the IID Poisson assumptions."
ID_186457,Fundamental idea,Cook and Stefanski (1994),"Following Cook and Stefanski (1994), we propose to fit a parametric model to (x(p), θ(p)) based on some preselected values of p, where θ(p) is as defined in (9). We then use the extrapolated value at p = ∞ from the fitted model as our biascorrected estimate for θ . The validity of extrapolating at p = ∞ can be justified in two ways. First, note that p = ∞ means that each N i is observed over an infinitely long time interval. This is equivalent to that X i 's are observed without error, since W i converges to X i almost surely assuming ergodicity (Daley and Vere-Jones 1988). Second, note that the extra variance added to W i is approximately (1/p -1)σ 2 u i under our approach, but would be ζ σ 2 u i if SIMEX could be used. Solving 1/p -1 = ζ for ζ = -1 leads to p = ∞. From this perspective, our extrapolation criterion coincides with that used for SIMEX."
ID_186565,Technical basis,Koenker (2005),"A completely distribution-free approach that directly addresses quantile modeling is given by quantile regression, which is thoroughly treated in Koenker (2005). The simple linear quantile regression model can be written as"
ID_186826,Comparison,Meng and Rubin 1993,"Simulations have shown the results of this procedure to be at least as good as those provided by a first order asymptotic approximation provided by Andreatta and Kaufman (1986). This approach is novel and its theoretical properties are not well understood. At first, it might seem this algorithm is a variant of an EM algorithm, such as an ECM algorithm (Meng and Rubin 1993), with the unobserved part of the degree sequence, d n+1 , . . . , d N as the latent variable. In the design-based frame, however, these values also fully determine the unknown parameters N k = N i=1 I(d i = k), resulting in a degenerate likelihood form. Thus the algorithm is not an EM variant."
ID_186892,Technical basis,Gart (1969),"In the first evidence factor in Table 2, this is the conditional distribution of T , the number of birth injuries in Philadelphia during the years 1997-1999 of abrupt closures, given the total W of birth injuries in Philadelphia in all years 1995-1999. If H 0 is true, then r Tik = r Cik = R ik , and T and W receive only constant contributions from concordant pairs with 0 = R i1 -R i2 = r Ci1r Ci2 . Renumber the pairs so that pairs j = 1, . . . , J are both in S and are discordant pairs in the sense that R j1 = R j2 , and pairs j + 1, . . . , I are either not in S or are concordant pairs with R j1 = R j2 . Let T = J j=1 2 k=1 v j Z jk R jk and W = J j=1 2 k=1 Z jk R jk and notice that, given F and Z i1 + Z i2 = 1, i = 1, . . . , I, they differ from T and W by a constant when H 0 is true. Write Z = (Z 11 , Z 12 , . . . , Z J2 ) T and r C = (r C11 , r C12 , . . . , r CJ2 ) T for the 2J-dimensional vectors, and write Z for the set containing the 2 J vectors z = (z 11 , z 12 , . . . , z J2 ) T with each z jk = 0 or z jk = 1 and z j1 + z j2 = 1. With a slight abuse of notation, conditioning on the event Z ∈ Z will be abbreviated to conditioning on Z. Write v + = J j=1 v j . In Proposition 1, the case (5) of = 1 is essentially due to Gart (1969). In (4) conditioning on W has eliminated the potential bias in (2) from r Ci1 , leaving only the potential bias from γ u i1 ."
ID_187005,Background,Yi and Xu (2008),"Bayesian shrinkage priors for normal mean estimation have been studied extensively, and shrinkage priors for general regression problems have recently been of interest, due in part to the advent of the regularization procedures discussed earlier. Fernández and Steel (2000) considered a large class of scale mixture of normal distributions for use in regression. Park and Casella (2008) focused on one special case, the double-exponential prior distribution, and made connections to the lasso procedure. Yi and Xu (2008) provided an application to genetics data. Hans (2009) also considered the doubleexponential prior, but framed the model outside of the the scalemixture setting. Griffin andBrown (2007, 2010) generalized the scale-mixture representation of the double-exponential distribution by placing a more flexible mixing distribution on the scale parameter. Polson andScott (2011a, 2011b) recently developed a very rich class of shrinkage priors. The approach we introduce in this article has connections to each of these settings but arises from a unique prior distribution that results in a posterior with different properties than those considered in the related work. We also address regression model uncertainty and consider model-averaged predictions, which were not addressed in detail in the aforementioned related work."
ID_187289,Background,Price et al. 2006,"The prevailing approach to adjusting for population stratification is principal components analysis, which infers continuous axes of genetic variation from genomic markers and includes those axes as covariates in the association analysis (Chen et al. 2003;Zhang, Zhu, and Zhao 2003;Price et al. 2006). It is unclear how many axes should be used or how their effects on disease should be modeled. Price et al. (2006) suggested including the 10 axes with the highest eigenvalues as covariates with linear effects, and their method, EIGENSTRAT, has been used in virtually all recent GWA studies. The assumption of linear effects is likely violated in practice. Zhang, Zhu, and Zhao (2003) and Chen et al. (2003) modeled the effects semiparametrically thorough a kernel function, which can be computationally unstable when the dimension is greater than two. Epstein, Allen, and Satten (2007) calculated a stratification score, which is the individual's estimated odds of disease as a function of his or her ancestry-informative markers, and tested for association within strata defined by the stratification score. The use of the stratification score tends to attenuate the estimates of the genetic effects at candidate SNPs and thus reduce statistical power, especially when the set of ancestry-informative markers is large (Lee et al. 2008). Recently, Zhao, Rebbeck, and Mitra (2009) calculated a propensity score (Rosenbaum and Rubin 1983) by regressing the genotype of each candidate SNP on ancestry-informative markers, and used the resulting propensity score as a linear term in the logistic regression model for the disease association; they did not theoretically justify their method."
ID_187444,Background,Lancaster and Jun 2010,"A few works in the Bayesian literature also have considered likelihood-like and nonlikelihood statistical criterion functions (e.g., Lavine 1995;Dunson, Watson, and Taylor 2003;Lazar 2003;Dunson and Taylor 2005;Schennach 2005;Lancaster and Jun 2010). These works were motivated by the computational complexities entailed in nonparametric Bayesian methods and the difficulty of likelihood specification. Lazar (2003) and Lancaster and Jun (2010) specifically considered EL. Most of these works were concerned with independent data analysis, with a few exceptions. Dunson, Watson, and Taylor (2003) considered median regression for a latent variable model with multiple surrogate outcomes under Gaussian within-subject dependency structure. Yin (2009) used a quadratic likelihoodlike function motivated by generalized estimating equations and proposed a Bayesian generalized method-of-moments approach."
ID_187585,Background,Ghosh and Tiwari (2007),"Accurate and timely counts of cancer mortality are very useful in the cancer surveillance community for purposes of efficient resource allocation and planning. Estimation of current and future cancer mortality broken down by geographic area (state) and tumor has been discussed in a number of recent articles, including those by Tiwari et al. (2004), Ghosh and Tiwari (2007), Ghosh et al. (2007), and Ghosh, Ghosh, and Tiwari (2008). This section considers a multivariate spatial model on state-level cancer mortality rates in the United States for 2000. These mortality data are based on death certificates that are filed by certifying physicians. They are collected and maintained by the National Center for Health Statistics (http:// www.cdc.gov/ nchs) as part of the National Vital Statistics System. The data are available from the Surveillance, Epidemiology, and End Results (SEER) program of the National Cancer Institute (http:// seer.cancer.gov/ seerstat)."
ID_187784,Background,Dewanji and Kalbfleisch 1987,"When the observed failure times are not randomly selected from the target population of interest but with probability proportional to their underlying length, we have length-biased time-to-event data. Length-biased data are naturally encountered in applications of renewal processes (Cox and Miller 1977;Vardi 1982;Dewanji and Kalbfleisch 1987;Vardi 1989), industrial applications (Kvam 2008), etiologic studies (Simon 1980), genome-wide linkage studies (Terwilliger et al. 1997), epidemiologic cohort studies (Keiding 1991;Gail and Benichou 2000;Gordis 2000;Sansgiry and Akman 2000;Scheike and Keiding 2006), cancer prevention trials (Zelen and Feinleib 1969;Zelen 2004), and studies of labor economy (Lancaster 1990;McClean and Devine 1995;De U<U+00F1>a álvarez, Otero-Giraldez, and Alvarez-Llorente 2003). In observational studies, a prevalent cohort design that draws samples from individuals with a condition or disease at the time of enrollment is generally more efficient and practical. The recruited patients who have already experienced an initiating event are followed prospectively for the failure event (e.g., disease progression or Jing Qin is Mathematical Statistician, National Institution of Allergy and Infectious Diseases, Bethesda, MD 20817 (E-mail: jingqin@niaid.nih.gov). Jing Ning is Assistant Professor, Department of Biostatistics, M. D. Anderson Cancer Center, Houston, TX 77030 (E-mail: jning@mdanderson.org). Hao Liu is Associate Professor, Division of Biostatistics, Dan L. Duncan Cancer Center, Baylor College of Medicine, Houston, TX 77030 (E-mail: haol@bcm.edu). Yu Shen is Professor, Department of Biostatistics, M. D. Anderson Cancer Center, Houston, TX 77030 (E-mail: yshen@mdanderson.org). We thank one associate editor and two referees for their very constructive comments. We also thank Professor Masoud Asgharian and investigators of the Canadian Study of Health and Aging (CHSA) for providing us the dementia data from CHSA. The data reported in the example were collected as part of the CHSA. The core study was funded by the Seniors' Independence Research Program, through the National Health Research and Development Program of Health Canada (Project 6606-3954-MC(S)). Additional funding was provided by Pfizer Canada Incorporated through the Medical Research Council/Pharmaceutical Manufacturers Association of Canada Health Activity Program, NHRDP Project 6603-1417-302(R), Bayer Incorporated, and the British Columbia Health Research Foundation Projects 38 (93-2) and 34 (96-1). The study was coordinated through the University of Ottawa and the Division of Aging and Seniors, Health Canada. This research was supported in part by National Institute of Health grant R01-CA079466."
ID_187806,Background,Asgharian and Wolfson (2005),"In a seminal article, Vardi (1989) described the multiplicative censorship model, which connected four well-investigated statistical problems: (A) estimating a nonparametric distribution function under multiplicative censoring, (B) estimating the underlying distribution in renewal processes, (C) solving a nonparametric deconvolution problem, and (D) estimating a monotone decreasing density function. Vardi (1989) presented problems A and C, which have a natural connection with the measurement error problem and inverse problem discussed by van der Vaart and Wellner (1992) and Bickel and Ritov (1994). Most importantly, Vardi (1989) and Wang (1991) showed that the nonparametric maximum likelihood estimation (NPMLE) of the survival distribution under multiplicative censoring (problem B) is equivalent to the nonparametric estimation for survival distribution of the observed length-biased data. The large sample properties of the corresponding NPMLE were established in the article by Asgharian, M'Lan, and Wolfson (2002), and the asymptotic efficiency of the NPMLE follows from the work of Asgharian and Wolfson (2005) and van der Vaart (1998, theorem 25.47). In this article we explore the po-tential to extend the approach of Vardi (1989) to nonparametric estimations in more general settings and to semiparametric regression models."
ID_187973,Technical basis,"Cule, Samworth, and Stewart (2010)","Similar mixtures were considered by Cule, Samworth, and Stewart (2010). In each case we generated 200 contaminated samples W 1 , . . . , W n of size n = 250, where W i = X i + U i . We took U to be Laplace such that the noise to signal ratio var(U)/ var(X) equals 20%."
ID_188656,Technical basis,Wilcox 2005,"The parameter λ in an M-estimator (4.4) is often chosen to be a constant (for all n) based on either efficiency or breakdown of the estimator. However, as mentioned in Section 3, even with no outliers and X = I, a constant λ independent of n is far from optimal (Donoho and Johnstone 1994). In robust regressions, it also is difficult to select the cutoff value η at which to identify outliers, because the residual distribution is usually unknown. The value 2.5 σ is popular (Rousseeuw and Leroy 1987;Wilcox 2005;Maronna, Martin, and Yohai 2006). Gervini and Yohai (2002) based an asymptotically efficient choice for η on a Kolmogorov-Smirnov statistic, but they needed to assume that the standardized robust residuals were iid N (0, 1)."
ID_188678,Technical basis,Antoniadis (2007),"Lemma A.1. Given a thresholding rule , let P be any function satisfying P(θ; λ) = P(0; λ) + P (θ; λ) + q(θ; λ), where q(<U+2022>; λ) is nonnegative and q( (θ; λ)) = 0 for all θ . Then the minimization problem min θ (tθ) 2 /2 + P(θ; λ) has a unique optimal solution, θ = (t; λ), for every t at which (<U+2022>; λ) is continuous. This is a generalization of proposition 3.2 of Antoniadis (2007). Note that P (and P ) might not be differentiable at 0 and might not be convex."
ID_189092,Background,Rice 1986,"For example, in longitudinal data analysis, the time covariate T is often treated as the only nonlinear effect. Model es- (Zhang), DMS-0906497 (Cheng), and DMS-0747575 (Liu), NIH grants NIH/NCI R01 CA-085848 (Zhang), NIH/NCI R01 CA-149569 (Liu), and NIH/NCI P01 CA142538 (Zhang and Liu). The authors thank the editor, the associate editor, and two reviewers for their helpful comments and suggestions which led to a much improved presentation. timation and inference for (1.2) have been actively studied under various smooth regression settings, including smoothing splines (Wahba 1984;Engle et al. 1986;Heckman 1986;Rice 1986;Chen 1988;Hong 1991;Green and Silverman 1994;Liang, Hardle, and Carroll 1999), penalized regression splines (Ruppert, Wand, and Carroll 2003;Liang 2006;Wang, Li, and Huang 2008), kernel smoothing (Speckman 1988), and local polynomial regression (Fan and Gijbels 1996;Fan and Li 2004;Li and Liang 2008). Interesting applications include the analysis of city electricity (Engle et al. 1986), household gasoline consumption in the United States (Schmalensee and Stoker 1999), a marketing price-volume study in the petroleum distribution industry (Green and Silverman 1994), the logistic analysis of bioassay data (Dinse and Lagakos 1983), the mouthwash experiment (Speckman 1988), and so on. A recent monograph by Hardle, Liang, and Gao (2000) gave an excellent overview on partially linear models, and a more comprehensive list of references can be found there."
ID_189742,Technical basis,Stock and Watson (2005),"In our second Monte Carlo experiment, we study the performance of the different estimators when applied to more realistic datasets. The starting point is the well-known set of time series provided by Stock and Watson (2005). Since we do not want to impose a specific ARMA-structure on the simulated common factors or idiosyncratic components, which would constitute an advantage for the ARMA-based PC-GLS estimators, we employ the circular block bootstrap of Politis and Romano (1992). In particular, motivated by its superior performance in the first simulation experiment, we apply the iterated PC-GLS estimator to the aforementioned dataset. In line with Stock and Watson's (2005) findings, we set the number of factors equal to seven. Thus, we obtain estimates for the common factors, F, the factor loadings, , and thus for the common component, F , as well as for the idiosyncratic errors, e. In each simulation run, we resample overlapping blocks of a given length from the estimated factors and idiosyncratic errors to obtain a new set of factors and idiosyncratic components. Those series are then combined with the estimated factor loadings to obtain an individual sample for our simulation experiment. The block length differs between the factors and idiosyncratic errors, but is the same over all individual factors and errors, respectively. It is chosen optimally, based on Politis and White (2004) and including the correction of Patton, Politis, and White (2009). 10 In Figure 3. Scree plots. Note: This figure shows the scree plot of Stock and Watson's (2005) original dataset (solid line) as well as the respective smallest and largest eigenvalue over 1000 simulation runs from the simulated series (dashed lines) (N = 132, T = 526)."
ID_189767,Background,Davey and Salva (2009),"It is a familiar situation in applications that data may have missing values; see a discussion and many examples in Little and Rubin (2002), Horton and Kleiman (2007), Molenberghs and Kenward (2007), and Davey and Salva (2009). There is a vast literature devoted to the case where responses are missing at random (MAR); see a review of more recent results in Müller (2009). A nice feature of this setting is that complete pairs (complete-case approach) can be used for consistent estimation of the regression function, and the main tool to improve the efficiency of a complete-case estimator is via imputation of missing responses."
ID_190162,Fundamental idea,Ronchetti and Staudte (1994),"As noted in Ronchetti and Staudte (1994) and Cantoni and Ronchetti (2001a), outliers in the data may affect automatic smoothing parameter selection methods regardless of the robustness of the fitting algorithm. In other words, even if we use a robust estimator, outliers in the data may affect negatively the selection of the smoothing parameter. It is easy to intuitively understand why this is case. If every observed response y i in our goodness-of-fit criterion has the same importance, a value of the smoothing parameter that produces a fit adjusting most observations well and leaving a few potential outliers far will have an unduly large value of the cross-validation criterion. Hence, even if the fit is robust, the classical criteria may favor bandwidths that yield fits that accomodate the outliers. To avoid this problem we downweight outlying observations so that the ""cost"" of not fitting them is reduced. We consider weights of the form w i = ψ c (r i )/r i , and define a robust cross-validation criteria as"
ID_190169,Background,Wood (2006),"where z j ～ B(1, δ), and w j = 10 or w j ～ P(30) depending on whether y j has a binomial or Poisson distribution. Hence, the number of outliers (and their position in the Poisson case) in each sample is random. The covariates were kept fixed throughout each of the simulation settings. All calculations where performed in R (R Development Core Team 2009). The GAM fit was obtained using the function gam available in the package gam, the penalized splines approach of Wood (2006) was calculated with the the R package mgcv (MGCV), while the robust GAM fit was calculated using the authors' R code, which is available online at http:// www.stat.ubc.ca/ ~matias/ soft.html. We used a score function in Huber's family with tuning constant c = 1.5 in both the estimation and cross-validation steps. The bandwidths for GAM and RGAM were selected using leaveone-out CV and robust leave-one-out CV as in ( 8) and ( 10), respectively."
ID_190285,Background,Schott (1994),"In most cases, we do not know the structural dimensions of the central subspaces S Y|X and S (Y,δ)|X , denoted by K and d, respectively. There are two popular basic approaches to determining the structural dimension. One of these is the sequential test method developed by Li (1991) and later extended by Schott (1994), Velilla (1998), Bura andCook (2001), andFerré (1998)."
ID_190364,Background,Efron (2010a),"Remark C (Correlation effects). The empirical Bayes estimation algorithm described in Section 3 does not require independence among the z i values. Fitting methods like that in Figure 3 will still provide nearly unbiased estimates of l(z) for correlated z i 's, however, with increased variability compared to independence. In the language of Section 4, the empirical Bayes information per ""other"" observation is reduced by correlation. Efron (2010a) provided a quantitative assessment of correlation effects on estimation accuracy."
ID_190402,Comparison,Gordon andOlshen (1978),"Section 2 reviewed results contained in the work of Gordon andOlshen (1978, 1980) for the estimator <U+0125>N ν (x) using an iid sample of size N ν from a superpopulation. These results established sufficient conditions for L p consistency of an estimator of h(x) as N ν grows without bound. This section considers an estimator of h(x) based on recursive partitioning algorithms when the data are collected via a random sample with unequal probabilities of selection with replacement. For this end, we consider the performance of an estimator determined by the data from the sample of size n ν in estimating <U+0125>N ν (x) as both n ν , N ν → ∞."
ID_190434,Background,Ghosh and Maiti (2004),"Model-based small-area estimates have been developed by shrinking the direct estimates towards synthetic estimates which are formed by fitting suitable regression models. An ingenious approach suggested by Ghosh and Maiti (2004) demonstrates that progress can be made in the case of natural exponential families of distributions (Morris 1982(Morris , 1983)), which encompass the binomial, negative binomial, Poisson, gamma with known shape parameter, hyperbolic secant, and normal distribution with known variance."
ID_190657,Fundamental idea,Zhang et al. (2010),"The Collaborative Study on the Genetics of Alcoholism (COGA) is a large-scale, multi-center family study that aims to identify susceptible genes for alcohol dependence and alcoholrelated phenotypes (Begleiter et Although there are multiple alcohol-related traits available in COGA data, most of linkage and association analyses of alcohol dependence focused on the trait ALDX1 (Alcohol DX-DSM3R+Feighner) only. ALDX1 defines the severity of the alcohol dependence based on the DSM-III-R (American Psychiatric Association 1994) and Feighner criteria (Feighner et al. 1972). This measure was recorded on an ordinal scale with four levels (pure unaffected, never drunk, unaffected with some symptoms, and affected); however, almost all the previous analyses treated ALDX1 as a binary outcome. Following Zhang et al. (2010), we consider three ordinal traits together: (1) ALDX1, (2) MaxDrink (maximum number of drinks in a 24-hour period) with four levels (0-9, 10-19, 20-29, and more than 30 drinks), (3) TimeDrink (spent so much time drinking, had little time for anything else) with three levels (""no,"" ""yes and lasted less than a month,"" and ""yes and lasted for one month or longer""). As revealed in Zhang et al. (2010), the association signal of ALDX1 was enhanced by jointly analyzing these three traits. However, they did not evaluate whether the environmental factors also contribute to the alcoholism risk, which is an important issue to consider in genetic studies of alcoholism (Edenberg 2002)."
ID_190702,Technical basis,"H<U+00E4>rdle, Hall, and Marron (1988)","As discussed in the online supplementary materials, we also considered cross-validation for bandwidth selection, but the result was quite oversmoothed at h = 18. This is consistent with the large sample variability for cross-validation in Euclidean smoothing discussed by H<U+00E4>rdle, Hall, and Marron (1988). It is also consistent with the results of Chiu and Marron (1990), who showed how autocorrelation among data observations may cause such phenomena. In our tree regression problem, the driver of the cross-validation bandwidth remains unclear."
