title,human,ChatGPT,author,deepseek
A Generalized Reflection Method Of Boundary Correction In Kernel Density Estimation,"The kernel method of estimation of curves is now popular and widely used in statistical applications. Kernel estimators suffer from boundary effects, however, when the support of the function to be estimated has finite endpoints. Several solutions to this problem have already been proposed. Here the authors develop a new method of boundary correction for kernel density estimation. Their technique is a kind of generalized reflection involving transformed data. It generates a class of boundary corrected estimators having desirable properties such as local smoothness and nonnegativity. Simulations show that the proposed method performs quite well when compared with the existing methods for almost all shapes of densities. The authors present the theory behind this new methodology, and they determine the bias and variance of their estimators.","Kernel Density Estimation (KDE) is a widely used non-parametric technique for estimating the probability density function of a random variable. However, a common challenge in KDE arises when the data is bounded, leading to boundary bias that can significantly distort the estimated density near the edges of the support. This paper introduces a Generalized Reflection Method (GRM) for boundary correction in KDE, which enhances traditional reflection approaches by incorporating a flexible framework that adapts to various boundary types and distribution shapes. The GRM involves reflecting the data points across the boundary while employing a kernel function that dynamically adjusts to the local density structure. We derive the theoretical underpinnings of this method and provide a comprehensive analysis of its convergence properties and bias reduction capabilities. Extensive simulation studies demonstrate the superiority of the GRM over existing boundary correction techniques in terms of accuracy and robustness, particularly in scenarios with complex boundary conditions. We further illustrate the practical application of the proposed method through real-world datasets, showcasing its effectiveness in improving density estimates in constrained environments. This work lays the groundwork for advancing boundary correction techniques in non-parametric statistics and provides a valuable tool for practitioners dealing with bounded data.",Rohana Karunamuni,"Kernel density estimation (KDE) often suffers from boundary bias when data are non-negative or confined to an interval. Traditional reflection methods mitigate this issue but are limited to specific domains. This paper introduces a *generalized reflection method* for boundary correction, extending applicability to arbitrary bounded intervals and multivariate settings. By incorporating flexible reflection weights and adaptive bandwidths, our approach reduces boundary bias while maintaining estimation efficiency. Theoretical analysis establishes consistency and asymptotic normality, while simulations demonstrate superior performance compared to existing methods. The proposed technique is illustrated with real-world datasets, highlighting its practical utility in density estimation for constrained domains.  

**Keywords:** Kernel density estimation, boundary bias, reflection method, nonparametric statistics, adaptive bandwidth."
On Empirical Bayes Sequential Estimation,"We study the empirical Bayes approach to the sequential estimation problem. An empirical Bayes sequential decision procedure, which consists of a stopping rule and a terminal decision rule, is constructed for use in the component. Asymptotic behaviors of the empirical Bayes risk and the empirical Bayes stopping times are investigated as the number of components increase.","In this paper, we explore the application of Empirical Bayes methods in sequential estimation problems, which has garnered renewed interest due to its efficacy in handling complex real-world data. We provide a comprehensive framework that integrates empirical Bayes techniques into a sequential decision-making context, allowing for the dynamic updating of prior distributions based on observed data sequences. Our approach not only addresses the challenges of parameter estimation in evolving environments but also improves computational efficiency by reducing reliance on traditional Bayesian inference methods that often require intractable posterior calculations. We demonstrate the implementation of our proposed methodology through a series of simulation studies and real-world case applications, showcasing its robustness and adaptability. The comparative analysis against classical sequential estimation methods reveals notable enhancements in estimation accuracy and convergence rates. Furthermore, we discuss the theoretical underpinnings of our approach, establishing asymptotic properties and convergence conditions that ensure its reliability. The results suggest that Empirical Bayes sequential estimation represents a promising advancement in the field, facilitating improved decision-making in uncertain contexts across a variety of disciplines. Our findings contribute to both the theoretical development of statistical methodologies and their practical applications, paving the way for future research in this evolving area of study.",Rohana Karunamuni,"This paper explores empirical Bayes methods for sequential estimation, where prior information is adaptively updated using observed data in a sequential framework. We develop theoretical guarantees on the consistency and efficiency of empirical Bayes estimators in sequential settings, addressing challenges such as dependency structures and non-stationarity. Through simulations and real-data applications, we demonstrate the advantages of our approach over classical sequential estimation techniques, particularly in scenarios with limited prior knowledge. Our results highlight the robustness and scalability of empirical Bayes sequential estimators, offering practical insights for adaptive decision-making in dynamic environments.  

**Keywords:** Empirical Bayes, sequential estimation, adaptive priors, dynamic models, statistical efficiency."
Some Improvements On Empirical Bayes Testing In Lebesgue-exponential Families,"We consider the empirical Bayes linear loss two-action problem in exponential families, x ( )u(x), determined by a measure with Lebesgue density u, where u 0 if and only if x a, and the parameter has a distribution G. Based on a sequence of observations X1,X2. ,Xn, i.i.d. according to the marginal distribution of x, estimates of the posterior mean are used to define estimates for the Bayes test. Rates of convergence of the excess risk are obtained under certain integrability conditions. These results are proved under weaker hypotheses than those of Johns and Van Ryzin (1972). Our approach is based on a new technique of bias reduction of kernel type density estimates.","This paper presents advancements in the framework of Empirical Bayes testing within the context of Lebesgue-exponential families, which are characterized by their flexible modeling of diverse statistical phenomena. We begin by deriving new asymptotic properties of empirical Bayes estimators under the Lebesgue-exponential model, establishing a theoretical foundation that enhances their practical applicability. We also propose an improved testing procedure that addresses challenges related to model uncertainty and prior elicitation. Our methodology employs a robust Bayesian approach that integrates empirical data with prior distributions, leading to a more accurate assessment of hypotheses. Through a series of simulation studies and real-data applications, we demonstrate that our improved testing procedure consistently outperforms traditional methods in terms of both power and robustness. These contributions provide a significant step forward in the statistical analysis of complex data structures characterized by Lebesgue-exponential families, offering researchers new tools for hypothesis testing in varied fields of application.",Rohana Karunamuni,"This paper presents novel improvements to empirical Bayes testing within Lebesgue-exponential families, focusing on enhancing the accuracy and efficiency of hypothesis testing procedures. By leveraging refined estimators for the prior distribution and optimizing decision rules, we establish stronger theoretical guarantees on error control while maintaining computational tractability. Our approach extends existing methods by incorporating adaptive shrinkage and data-driven regularization, leading to improved power and robustness in finite-sample settings. Simulations and theoretical analyses demonstrate the advantages of the proposed techniques over conventional empirical Bayes frameworks. The results contribute to broader applications in high-dimensional inference and large-scale multiple testing.  

**Keywords:** Empirical Bayes, hypothesis testing, exponential families, adaptive shrinkage, multiple comparisons."
A New Smoothness Quantification In Kernel Density-estimation,"Let X(l),.,X(n) denote a random sample from an unknown univariate distribution with density f. In kernel density estimation, one usually assumes that the density f belongs to some class F, in order to obtain rate of convergence results. The various investigations in the literature differ in the classes of functions F employed, these varying according to smoothness conditions imposed, but typically involve assuming that the k-th derivative of f is bounded uniformly in F (this can be weakened to a Holder condition on the (k-l)-st derivative). In this paper we introduce classes of density functions based on a new smoothness quantification. Our formulation restricts the local behaviour of the density in a neighborhood of each point. Rates of convergence for the mean squared error are established. Relationships with the better known classes, such as the Lipschitz classes, are discussed.","In the realm of nonparametric statistics, kernel density estimation (KDE) serves as a predominant technique for estimating the probability density function of a random variable. Despite its widespread application, a comprehensive understanding of the smoothness of the resulting estimates has been largely overlooked. This paper introduces a novel framework for quantifying smoothness in KDE, leveraging advanced mathematical tools from functional analysis and statistical learning. We propose a metric that captures the local variations of the density surface, enabling a more nuanced assessment of how kernel choice and bandwidth selection influence the smoothness of estimators. Through rigorous theoretical derivation, we establish the relationship between our smoothness metric and traditional performance indicators such as bias and variance. Empirical validation using simulated and real datasets demonstrates that our smoothness quantification provides significant insights into the underlying distributional characteristics, guiding practitioners in selecting optimal kernel and bandwidth parameters. Our findings highlight the importance of smoothness in enhancing the interpretability and accuracy of kernel density estimates, ultimately contributing to more robust statistical analysis in various applied fields.",Rohana Karunamuni,"Kernel density estimation (KDE) is a widely used nonparametric method for estimating probability distributions, but quantifying the smoothness of the resulting density estimate remains a challenge. This paper introduces a novel, interpretable measure for smoothness quantification in KDE, leveraging properties of the kernel function and bandwidth selection. Our approach provides a robust, data-driven metric that enhances model diagnostics and bandwidth optimization. Theoretical analysis and simulations demonstrate the effectiveness of the proposed measure in balancing bias-variance trade-offs and improving density estimation accuracy. Applications to real-world datasets further validate its utility in practical settings.  

**Keywords:** Kernel density estimation, smoothness measure, bandwidth selection, nonparametric statistics, density estimation."
Robust Empirical Bayes Tests For Continuous Distributions,"In this paper, we Study the empirical Bayes two-action problem under linear loss function. Upper bounds on the regret of empirical Bayes testing rules are investigated. Previous results on this problem construct empirical Bayes tests using kernel type estimators of nonparametric functionals. Further, they have assumed specific forms. such as the continuous one-parameter exponential family for (theta) : theta is an element of Omega , for the family of distributions of the observations. In this paper, we present a new general approach of establishing upper bounds (in terms of rate of convergence) of empirical Bayes tests for this problem. Our results are given for any family of continuous distributions and apply to empirical Bayes tests based on any type of nonparametric method of functional estimation. We show that our bounds are very sharp in the sense that they reduce to existing optimal or nearly optimal rates of convergence when applied to specific families of distributions. (C) 2009 Elsevier B.V. All rights reserved.","In this paper, we present a novel framework for conducting robust empirical Bayes tests for continuous distributions. Traditional Bayesian methods often struggle with prior specification and may be sensitive to outliers or model misrepresentations. Our approach leverages an empirical Bayes method that combines robust statistical techniques with a flexible prior construction, allowing for effective inference even in the presence of non-ideal data conditions. We introduce a class of robust loss functions to explicitly account for model uncertainty and variability, resulting in more resilient test statistics. We evaluate the performance of our proposed tests through extensive simulations across various continuous distribution scenarios, highlighting their advantages in terms of power and type I error control compared to classical methods. We also apply our empirical Bayes tests to real-world datasets to illustrate their practical applicability. The findings demonstrate that our robust empirical Bayes tests offer a compelling alternative for statisticians seeking reliable inference in complex data environments.",Rohana Karunamuni,"This paper introduces robust Empirical Bayes (EB) tests for continuous distributions, addressing the challenge of hypothesis testing under uncertain prior information. By leveraging adaptive shrinkage estimators and nonparametric density estimation, we develop EB procedures that are both computationally efficient and resilient to misspecified priors. Theoretical guarantees establish the asymptotic optimality of the proposed tests, while simulations demonstrate superior power and control of Type I error compared to classical and existing EB methods. Applications to real-world data highlight the framework's versatility in scenarios ranging from genomics to finance. The results underscore the potential of robust EB methods as a reliable tool for large-scale inference in continuous settings.  

**Keywords:** Empirical Bayes, robust testing, continuous distributions, nonparametric estimation, adaptive shrinkage."
Deconvolution Boundary Kernel Method In Nonparametric Density Estimation,"This paper considers the nonparametric deconvolution problem when the true density function is left (or right) truncated. We propose to remove the boundary effect of the conventional deconvolution density estimator by using a special class of kernels: the deconvolution boundary kernels. Methods for constructing such kernels are provided. The mean squared error properties, including the rates of convergence, are investigated for supersmooth and ordinary smooth errors. Numerical simulations show that the deconvolution boundary kernel estimator successfully removes the boundary effects of the conventional deconvolution density estimator. (C) 2008 Elsevier B.V. All rights reserved.","In this paper, we introduce the Deconvolution Boundary Kernel Method (DBKM) as a novel approach to nonparametric density estimation, particularly for datasets with boundary constraints. Traditional kernel density estimation often struggles at the boundaries of the support, leading to biased estimates. The DBKM addresses this issue by utilizing deconvolution techniques that effectively account for the boundary behavior of the underlying distribution. We derive the asymptotic properties of the DBKM, demonstrating its consistency and variance under various boundary conditions. A comprehensive simulation study illustrates the superiority of our method over existing boundary-corrected techniques, particularly in scenarios with complex boundary shapes. We further apply the DBKM to real-world datasets, showcasing its practical applicability and robustness. Our results suggest that the DBKM not only improves the estimation accuracy at boundaries but also enhances the overall performance of nonparametric density estimates, making it a valuable tool for statisticians and researchers dealing with boundary-limited phenomena.",Rohana Karunamuni,"This paper introduces the *Deconvolution Boundary Kernel Method* (DBKM) for nonparametric density estimation in scenarios where data are observed with measurement error near domain boundaries. Traditional kernel methods suffer from bias at boundaries, while existing deconvolution techniques often perform poorly in such regions. DBKM combines boundary-corrected kernels with deconvolution to mitigate bias and improve density estimation near edges. We establish theoretical properties, including asymptotic consistency and convergence rates, and demonstrate its practical advantages through simulations and real-data applications. The proposed method effectively handles boundary bias in error-contaminated data, offering a robust alternative to conventional approaches.  

**Keywords:** Nonparametric density estimation, deconvolution, boundary correction, kernel methods, measurement error."
Minimum Hellinger Distance Estimation In A Nonparametric Mixture Model,"In this paper, we investigate the estimation problem of the mixture proportion lambda in a nonparametric mixture model of the form lambda F(x) (1-lambda)G(x) using the minimum Hellinger distance approach, where F and G are two unknown distributions. We assume that data from the distributions F and G as well as from the mixture distribution lambda F (1-lambda)G are available. We construct a minimum Hellinger distance estimator of;. and study its asymptotic properties. The proposed estimator is chosen to minimize the Hellinger distance between a parametric mixture model and a nonparametric density estimator. We also develop a maximum likelihood estimator of lambda. Theoretical properties such as the existence. strong consistency, asymptotic normality and asymptotic efficiency of the proposed estimators are investigated. Robustness properties of the proposed estimator are studied using a Monte Carlo study. Two real data examples are also analyzed. (C) 2008 Elsevier B.V. All rights reserved.","In this paper, we explore the Minimum Hellinger Distance Estimation (MHDE) approach within the context of nonparametric mixture models. Mixture models arise frequently in various statistical applications, serving as flexible tools for modeling complex distributions. However, estimation in such models poses challenges, particularly due to the inherent identification issues and the potential for high-dimensional complexity. We propose a novel MHDE methodology that leverages the Hellinger distance a measure of statistical divergence between empirical distributions to derive efficient estimators for the mixture components without imposing restrictive parametric assumptions. Our approach provides a semiparametric framework that can accommodate an unknown number of components while maintaining computational feasibility through tailored optimization techniques. We conduct a thorough theoretical analysis of the consistency and asymptotic properties of the estimators. Additionally, we validate our method through extensive simulation studies and real-data applications, demonstrating its advantages in terms of robustness and accuracy compared to traditional estimation methods. This work not only enhances the understanding of nonparametric mixture modeling but also offers a practical statistical tool for researchers across various fields.",Rohana Karunamuni,"This paper explores minimum Hellinger distance (MHD) estimation for nonparametric mixture models, where the component distributions are unknown and modeled flexibly. Unlike traditional parametric approaches, MHD offers robustness against model misspecification while maintaining efficiency. We establish asymptotic properties of the estimator, including consistency and convergence rates, under mild regularity conditions. A computationally efficient algorithm is proposed, leveraging kernel density estimation and optimization techniques. Simulation studies demonstrate the method's robustness to outliers and superior performance compared to maximum likelihood in contaminated settings. Applications to real-world data illustrate its practical utility in clustering and density estimation. Our results highlight MHD as a powerful tool for nonparametric mixture modeling in the presence of complex, noisy data.  

**Keywords:** Nonparametric mixtures, Hellinger distance, robust estimation, density estimation, asymptotic theory."
A Locally Adaptive Transformation Method Of Boundary Correction In Kernel Density Estimation,"Kernel smoothing methods are widely used in many research areas in statistics. However, kernel estimators suffer from boundary effects when the support of the function to be estimated has finite endpoints. Boundary effects seriously affect the overall performance of the estimator. In this article, we propose a new method of boundary correction for univariate kernel density estimation. Our technique is based on a data transformation that depends on the point of estimation. The proposed method possesses desirable properties such as local adaptivity and non-negativity. Furthermore, unlike many other transformation methods available, the proposed estimator is easy to implement. In a Monte Carlo study, the accuracy of the proposed estimator is numerically analyzed and compared with the existing methods of boundary correction. We find that it performs well for most shapes of densities. The theory behind the new methodology, along with the bias and variance of the proposed estimator, are presented. Results of a data analysis are also given. (c) 2005 Elsevier B.V. All rights reserved.","Kernel density estimation (KDE) is a widely used non-parametric technique for estimating the probability density function of a random variable. However, traditional KDE methods often suffer from boundary bias, particularly when the support of the data is limited. This paper proposes a novel locally adaptive transformation method aimed at mitigating boundary bias in KDE, enhancing density estimation accuracy near the boundaries of the data support. Our approach involves the implementation of a dynamic transformation function that adjusts the kernel according to the local density and distance from the boundary, thereby optimizing the estimation process on a pointwise basis. We provide theoretical justification for the proposed transformation and demonstrate its efficacy through a series of simulations comparing it with existing boundary correction techniques. Results indicate that our method yields significant improvements in both bias reduction and overall density estimation performance at boundaries. Finally, we illustrate the practical application of this method with real-world datasets, showcasing its versatility and robustness in diverse scenarios. This work contributes to advancing boundary correction methodologies within non-parametric statistics, offering a powerful tool for researchers and practitioners dealing with empirical data constrained by boundary limitations.",Rohana Karunamuni,"Kernel density estimation (KDE) often suffers from boundary bias when applied to data with bounded support. Traditional boundary correction methods, such as reflection and transformation, can be overly restrictive or computationally intensive. This paper introduces a novel *locally adaptive transformation* (LAT) method that dynamically adjusts the transformation based on the local data density near boundaries. The proposed approach effectively reduces boundary bias while maintaining computational efficiency. Simulation studies demonstrate that LAT outperforms existing methods in terms of bias reduction and mean integrated squared error (MISE) across various distributions. Theoretical properties, including asymptotic consistency, are established. The method is illustrated with real-world applications, confirming its practical utility.  

**Keywords:** Boundary bias, kernel density estimation, adaptive transformation, nonparametric statistics, bias correction."
A Linear Empirical Bayes Solution For The Calibration Problem,"The well-known problem of multivariate calibration involves making inferences about an unknown q x 1 vector X from a single random observed p x 1 response vector Y. The relationship between Y and X is calibrated with experimental data (X-i, Y-i), i 1, 2,.,n, where Y-i and X-i are p x 1 and q x 1 vectors, respectively, and satisfy the regression relationship Y-i alpha beta' X-i epsilon(i), with epsilon(i) being the random error, and alpha(p x 1) and beta(q x p) are parameters. Two well-known competing estimators of X are the classical and inverse estimators. They can be obtained by direct or inverse regression and are supported by the maximum likelihood and Bayesian approaches, respectively. In this paper we exhibit another estimator, which is a convex combination of n known values of X-i, (i 1,.,n) and the classical estimator of the unknown X-0, derived by exploiting the techniques of linear empirical Bayes methods. We demonstrate that the proposed estimator has better performance over the classical estimator in the sense of having a smaller generalized mean squared error. We also compare our estimator with the inverse estimator as well. A simulation study is used to help validate the performance of the proposed estimator in small samples. Three practical examples are also analyzed. Our results show that the proposed estimator is overall the best choice among the three. (C) 2002 Elsevier B.V. All rights reserved.","This paper presents a novel approach to the calibration problem through the implementation of a Linear Empirical Bayes framework. Calibration, the process of adjusting predictions or model outputs to align more closely with observed data, is a critical aspect in various fields such as machine learning, statistics, and risk assessment. Traditional calibration methods often require either subjective priors or complex computational techniques, which may not be feasible in large-scale applications. Our proposed method leverages the Empirical Bayes paradigm, allowing for automatic adjustment of prior distributions based on observed data. We establish a linear model that effectively balances bias and variance, ensuring robust calibration across different scenarios. Through extensive simulations and real-world data applications, we demonstrate that our Linear Empirical Bayes approach outperforms existing calibration techniques, showing improved predictive accuracy and calibration reliability. The findings indicate that this method not only simplifies the calibration process but also provides a solid theoretical foundation for future developments in Bayesian statistical modeling.",Rohana Karunamuni,"The calibration problem, which involves adjusting model predictions to align with observed data, is a critical challenge in statistical inference. This paper presents a linear Empirical Bayes solution for calibration, offering a computationally efficient and interpretable approach. By leveraging empirical prior information, our method provides robust parameter estimates while minimizing mean squared error. We demonstrate the effectiveness of the proposed solution through theoretical analysis and simulations, showing improved calibration accuracy compared to conventional methods. The approach is particularly useful in high-dimensional settings, where traditional Bayesian methods may be computationally prohibitive. Applications to real-world datasets further validate its practical utility.  

**Keywords:** Empirical Bayes, calibration, linear estimation, statistical inference, mean squared error."
Empirical Bayes Two-action Problem For The Continuous One-parameter Exponential Family With Errors In Variables,"In this paper we study the empirical Bayes linear-loss two-action problem for the continuous one-parameter exponential family when the observed data are contaminated (errors in variables). A new empirical Bayes testing rule is constructed, and its asymptotic optimality uniformly over a class of prior distributions is established. Uniform rates of convergence of the corresponding regret (excess risk), which depends on the type of the error distribution, are also obtained for two types of error distributions. Our results are compared with the pure' observed data results of the literature. (C) 2002 Elsevier Science B.V. All rights reserved.","In this paper, we investigate the Empirical Bayes approach to the two-action decision problem within the context of the continuous one-parameter exponential family, specifically addressing the complications introduced by errors in variables. We establish a framework where decision makers must choose between two actions based on observed data that may be subject to measurement error. Our analysis focuses on deriving optimal decision rules under the Empirical Bayes paradigm, leveraging the structure of the exponential family to facilitate the estimation of the unknown parameters despite the presence of noise in the observations. We employ a theoretical approach to derive the posterior distributions and decision boundaries, followed by numerical simulations to illustrate the effectiveness of our method. The results demonstrate that our proposed approach can yield significant performance improvements over traditional Bayesian methods that do not account for errors in variables. We conclude by discussing the implications of our findings for practical applications in fields such as medical decision-making and quality control, where errors in measurement are a common challenge.",Rohana Karunamuni,"This paper addresses the empirical Bayes two-action problem within the continuous one-parameter exponential family when observations are subject to measurement errors. We derive an empirical Bayes decision rule that minimizes the Bayes risk under squared error loss, accounting for errors-in-variables (EIV) via a corrected likelihood approach. Theoretical properties, including asymptotic optimality and risk convergence, are established. Simulation studies demonstrate the method’s robustness to measurement error, and applications to real data illustrate its practical utility. The results extend classical empirical Bayes frameworks to settings with observational uncertainty, offering improved decision-making under imperfect information.  

**Keywords:** Empirical Bayes, errors-in-variables, exponential family, two-action problem, measurement error, asymptotic optimality."
Optimal Linear Bayes And Empirical Bayes Estimation And Prediction Of The Finite Population Mean,"In this article we investigate the estimation problem of the population mean of a finite population. Both point and interval estimators are of interest from Bayes and empirical Bayes point of views. Empirical Bayes analysis is concerned with the current' population mean, say gamma(m), when the sample data are available from other similar (m-1) finite populations, Y-1,., Ym-1, as well as the data from the current population, Y-m, where Y-i (Y-i1,., Y-ini), i 1,., m. Previous results on inference of gamma(m) have assumed either a normal model or a posterior linearity condition in making Bayes inference which is the kernel of the empirical Bayes problem. They resulted in examination of linear estimators of the sample mean (T) over bar (m) n(m)(-1) Sigma(j 1)(nm) Y-mj. In this paper, we propose to investigate a generalizing idea which generates optimal linear Bayes estimators of gamma(m). as functions of (T) over bar (m) We develop optimal linear Bayes estimators of gamma(m) under two Bayesian models. They are optimal in the sense of minimizing the mean squared error with respect to the underlying models. The corresponding empirical Bayes analogues are obtained by replacing the unknown hyperparameters by their respective consistent estimates as usual. The asymptotic optimality criterion is employed in order to measure the goodness of the proposed empirical Bayes estimators. Very promising Bayes and empirical Bayes two-sided confidence intervals and predictors of gamma(m) are also discussed. A Monte Carlo study is conducted to evaluate the performance of the proposed estimators. (C) 2002 Elsevier Science B.V. All rights reserved.","In this paper, we explore optimal linear Bayes and empirical Bayes methodologies for estimating and predicting the finite population mean under various sampling designs. We begin by establishing the theoretical framework for Bayesian estimation, highlighting the advantages of incorporating prior information and the role of hyperparameters in shaping posterior distributions. Through a comparative analysis, we derive analytical expressions for mean squared error (MSE) to assess the performance of the proposed estimators. We demonstrate that optimal linear Bayes estimators, derived from conjugate prior distributions, can significantly improve estimation accuracy compared to traditional frequentist approaches, especially in settings with limited sample sizes or prior knowledge. Furthermore, we introduce empirical Bayes techniques to leverage observed data for prior parameter estimation, effectively bridging the gap between Bayesian and frequentist paradigms. Our simulation studies corroborate the theoretical findings, illustrating the practical benefits of adopting optimal Bayes and empirical Bayes methods in real-world applications. The results underscore the potential of these approaches to enhance the accuracy of finite population mean estimation and prediction, ultimately contributing to better decision-making processes in statistical practice.",Rohana Karunamuni,"This paper investigates optimal linear Bayes and empirical Bayes estimation and prediction of the finite population mean under squared error loss. We derive minimum mean squared error (MSE) estimators by incorporating prior information and auxiliary data, comparing their performance with traditional design-based and model-based approaches. For the empirical Bayes framework, we propose data-driven estimators that adaptively weight sample and prior information, ensuring robustness under model misspecification. Theoretical results establish asymptotic optimality, while simulations and real-data applications demonstrate improved precision over classical methods. The findings highlight the advantages of Bayesian shrinkage in finite population inference, particularly for small or skewed subpopulations.  

**Keywords:** Finite population inference, linear Bayes, empirical Bayes, optimal estimation, mean squared error."
On Kernel Density Estimation Near Endpoints,"In this paper, we consider the estimation problem of f(0), the value of density f at the left endpoint 0. Nonparametric estimation of f(0) is rather formidable due to boundary effects that occur in nonparametric curve estimation. It is well known that the usual kernel density estimates require modifications when estimating the density near endpoints of the support. Here we investigate the local polynomial smoothing technique as a possible alternative method for the problem. It is observed that our density estimator also possesses desirable properties such as automatic adaptability for boundary effects near endpoints. We also obtain an optimal kernel' in order to estimate the density at endpoints as a solution of a variational problem. Two bandwidth variation schemes are discussed and investigated in a Monte Carlo study. (C) 1998 Elsevier Science B.V. All rights reserved.","Kernel Density Estimation (KDE) is a widely used non-parametric technique for estimating the probability density function of a random variable. However, traditional KDE methods can exhibit significant boundary bias at the edges of the support of the data. This paper presents a comprehensive study of kernel density estimation near endpoints, focusing on techniques to reduce bias and improve accuracy in these critical areas. We explore a range of boundary correction methods, including reflection and smoothing techniques, and evaluate their performance through simulation studies and real data applications. Additionally, we introduce a novel adaptive bandwidth selection approach that dynamically adjusts the kernel width based on proximity to the boundaries. Our results provide insights into the efficacy of various methods in mitigating endpoint bias, highlighting the trade-offs between bias and variance. We conclude that careful consideration of boundary behavior is essential for improving the robustness of kernel density estimates, particularly in applications with limited support or skewed distributions. This research contributes to the theoretical understanding of KDE and provides practical tools for statisticians working with empirical data that presents boundary challenges.",Rohana Karunamuni,"This paper investigates the behavior of kernel density estimators (KDEs) near domain endpoints, where boundary effects often lead to significant bias and suboptimal performance. We analyze the asymptotic properties of KDEs under various boundary correction methods, including reflection, transformation, and boundary kernel approaches. Theoretical results on bias, variance, and mean squared error are derived, highlighting the trade-offs between different correction techniques. Simulations and real-data examples illustrate the practical implications of our findings, demonstrating improved estimation accuracy near boundaries. Our results provide guidance for selecting appropriate boundary-aware KDE methods in applications where endpoint behavior is critical, such as extreme value analysis or compactly supported data.  

**Keywords:** Kernel density estimation, boundary bias, endpoint correction, nonparametric statistics, asymptotic properties."
On Nonparametric Density Estimation At The Boundary,"Boundary effects are well known to occur in nonparametric density estimation when the support of the density has a finite endpoint. The usual kernel density estimators require modifications when estimating the density near endpoints of the support. In this paper, we propose a new and intuitive method of removing boundary effects in density estimation. Our idea, which replaces the unwanted terms in the bias expansion by their estimators, offers new ways of constructing boundary kernels and optimal endpoint kernels. We also discuss the choice of bandwidth variation functions at the boundary region. The performance of our results are numerically analyzed in a Monte Carlo study.","Nonparametric density estimation is a fundamental technique in statistics for inferring the underlying distribution of data. However, standard methods often struggle with boundary behavior, where data are truncated by constraints such as non-negativity or other limit conditions. This paper presents a comprehensive framework for nonparametric density estimation specifically tailored to handle boundary issues. We propose a modified kernel density estimator that incorporates boundary correction techniques and demonstrate its effectiveness through theoretical derivations and computational simulation studies. The properties of the proposed estimator, including bias, variance, and consistency, are rigorously analyzed at the boundary. Furthermore, we provide a selection of bandwidth optimization strategies that adapt to boundary constraints, enhancing the estimator's performance. Our approach is validated using real-world datasets where boundary effects are pronounced, showcasing superior performance compared to traditional methods. This research contributes to the growing body of literature on density estimation by addressing the often-overlooked challenges at the boundary, offering practitioners robust tools for accurate data analysis in constrained environments.",Rohana Karunamuni,"Nonparametric density estimation often encounters challenges at the boundaries of the support, where traditional kernel methods suffer from bias due to incomplete kernel coverage. This paper investigates boundary effects in density estimation and explores solutions to mitigate bias, including boundary kernels, reflection methods, and transformation-based approaches. We provide theoretical analysis of the mean integrated squared error (MISE) for these methods and compare their finite-sample performance through simulations. Our results highlight the trade-offs between bias reduction and variance inflation, offering practical guidance for selecting appropriate boundary-correction techniques in real-world applications."
Boundary Performance Of The Beta Kernel Estimators,"The beta kernel estimators are shown in Chen to be non-negative and have less severe boundary problems than the conventional kernel estimator. Numerical results in Chen further show that beta kernel estimators have better finite sample performance than some of the widely used boundary corrected estimators. However, our study finds that the numerical comparisons of Chen are confounded with the choice of the bandwidths and the quantities being compared. In this paper, we show that the performances of the beta kernel estimators are very similar to that of the reflection estimator, which does not have the boundary problem only for densities exhibiting a shoulder at the endpoints of the support. For densities not exhibiting a shoulder, we show that the beta kernel estimators have a serious boundary problem and their performances at the boundary are inferior to that of the well-known boundary kernel estimator.","In this paper, we investigate the boundary performance of Beta kernel estimators, a powerful nonparametric method for density estimation, particularly in situations where the data are constrained to a finite interval. Despite their effectiveness, traditional kernel density estimators often exhibit poor performance near the boundaries of the support, leading to biased estimates. We propose a thorough analysis of the Beta kernel, which is specifically designed to address these boundary issues. Through theoretical derivations, we establish the asymptotic properties of the Beta kernel estimators, including convergence rates and bias behavior at the boundaries. Our findings are supported by a series of simulations demonstrating the advantages of Beta kernel estimators over conventional approaches. We further illustrate the practical implications of our results with real-world data applications, highlighting the significance of selecting appropriate kernel functions in boundary-sensitive contexts. The insights provided in this study aim to enhance the reliability of density estimates in practical applications involving bounded data, thereby contributing to the broader field of nonparametric statistics.",Rohana Karunamuni,"This paper investigates the boundary performance of beta kernel estimators, a nonparametric method for density estimation known to mitigate boundary bias issues common in traditional kernel approaches. We analyze the asymptotic properties of beta kernel estimators at and near the boundaries of compact support, deriving explicit expressions for bias and variance. Through theoretical analysis and simulations, we demonstrate their superior performance in reducing boundary effects compared to conventional kernels, particularly for densities with bounded or semi-bounded domains. Practical implications for bandwidth selection and finite-sample performance are also discussed. Our results highlight the robustness of beta kernel estimators in applications requiring accurate density estimation near boundaries.  

**Keywords:** Beta kernel, boundary bias, nonparametric density estimation, asymptotic properties, bandwidth selection."
